k,n,beta
0.1,0.1,0.344154403649051+0i
0.1,0.15,0.356659777214093-2.02413960158122e-62i
0.1,0.2,0.368165435654823+0i
0.1,0.25,0.378710008538986+0i
0.1,0.3,0.388352317395639-2.91857204485557e-69i
0.1,0.35,0.397161596610278-3.18353822703894e-65i
0.1,0.4,0.405210453895445+4.08511550598464e-54i
0.1,0.45,0.412570367077751+9.33404197676436e-50i
0.1,0.5,0.419309055098222+0i
0.1,0.55,0.425489121986459+4.86074219537122e-31i
0.1,0.6,0.431167519156081+4.46110053352744e-31i
0.1,0.65,0.436395507622929-2.56730064681701e-38i
0.1,0.7,0.441218907236895+5.67257343360945e-37i
0.1,0.75,0.44567849550839+2.05242357622961e-28i
0.1,0.8,0.449810470247005+1.65527439453502e-41i
0.1,0.85,0.453646924467906-2.18262512748709e-32i
0.1,0.9,0.457216304161353+8.1629960788003e-41i
0.1,0.95,0.460543833504031+0i
0.1,1,0.46365190069805+0i
0.15,0.1,0.412047104532532+0i
0.15,0.15,0.422702482594468-4.84848186525434e-112i
0.15,0.2,0.432307515553073+0i
0.15,0.25,0.44096252876265+0i
0.15,0.3,0.448768356506529+3.62345125318025e-67i
0.15,0.35,0.455820481386827-2.52657153261659e-62i
0.15,0.4,0.462206138170191-1.81497281998717e-62i
0.15,0.45,0.468003317468048-8.96377048443814e-58i
0.15,0.5,0.473280834634707+0i
0.15,0.55,0.478098938331042+2.69484893664703e-44i
0.15,0.6,0.48251015098191+0i
0.15,0.65,0.486560169840925+0i
0.15,0.7,0.490288738862209+2.28804508026468e-39i
0.15,0.75,0.493730448705025-8.91938644525552e-36i
0.15,0.8,0.496915448622008+4.68187235543016e-43i
0.15,0.85,0.499870068208739+0i
0.15,0.9,0.50261735416508+0i
0.15,0.95,0.505177530397166+2.29811320159732e-39i
0.15,1,0.507568390771854+0i
0.2,0.1,0.468643330145413+0i
0.2,0.15,0.477624841042026-5.44866379692083e-55i
0.2,0.2,0.485615267422948+0i
0.2,0.25,0.492739982108688+0i
0.2,0.3,0.499112008447028+3.92657021159766e-40i
